CODE_VILLE,BPR,GENDER,MARITAL_STATUS,NOMBRE_ENFANT,CUSTOMER_RATING,TAILLE_ENTREPRI,age_client,label_code,label_nom,pack_actuel,pack_etat,solde_moyen,solde_min,nb_mois_observes_solde,depot_moyen,flux_cred_total,nb_mois_avec_flux,nb_operations_gab,montant_total_gab,montant_moyen_gab,nb_retraits,montant_total_retraits,nb_paiements_digitaux,montant_total_payfac,nb_vignettes_payees,montant_total_vignette,label_eligibilite,jamais_active_digital,jamais_utilise_gab,anciennete_digitale_jours_imp,recence_gab_jours_imp,nb_mois_observes_solde_etait_extreme,NOMBRE_ENFANT_etait_extreme,solde_moyen_etait_extreme,solde_min_etait_extreme,solde_max_etait_extreme,depot_moyen_etait_extreme,flux_cred_moyen_etait_extreme,flux_cred_total_etait_extreme,montant_total_gab_etait_extreme,montant_moyen_gab_etait_extreme,montant_total_retraits_etait_extreme,montant_total_payfac_etait_extreme,montant_total_vignette_etait_extreme,solde_volatilite_indefinie,solde_volatilite_relative_imp
615,78,M,3,1,SIL,PARTICULIER,35,,,SANS_PACK,SANS_ETAT,24575.48916666667,-259.3,24,16402.512499999997,231919.675,4,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,0,0,1,0,1,1,0.0,0.0,0,0.0,0.0,0,4.17326097985096
780,78,M,3,3,SVC,PARTICULIER,44,,,PLOC1,W,-3879.6450000000004,-1033.2150000000001,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
526,50,F,3,1,SIL,PARTICULIER,39,,,PLOCI,W,26542.292083333334,847.065,24,31160.939599999998,4481.26,1,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0,2.807735472355667
425,27,M,1,0,SVC,PARTICULIER,29,,,SANS_PACK,SANS_ETAT,-234.30000000000004,-234.3,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,3177,699,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
640,64,F,1,0,SIL,PARTICULIER,41,,,SANS_PACK,SANS_ETAT,3943.9079166666684,6.05,24,4461.227600000001,5725.0,4,1,0.0,0.0,83,22300.0,0,0.0,0,0.0,0.0,1,0,2561,709,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,3.8732521962406348
720,64,F,3,0,SVC,PARTICULIER,62,,,PLOCI,W,764.555833333333,-164.31,24,16403.695833333335,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,3177,699,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,25.838322250282584
450,45,F,1,0,SIL,PARTICULIER,32,,,PJUN5,W,28334.288333333323,847.065,24,31185.001999999997,98030.0,10,0,0.0,0.0,41,51100.0,35,3709.01,0,0.0,0.0,0,1,4135,699,0,0.0,1,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0,2.321927207982932
15,01,M,1,0,SIL,PARTICULIER,39,,,PLOCI,W,28334.288333333323,847.065,24,45272.472928571435,47024.20999999999,13,10,0.0,0.0,121,35000.0,0,0.0,0,0.0,0.0,1,0,2561,668,0,0.0,1,1,0,1,0,0,0.0,0.0,0,0.0,0.0,0,3.237073185709683
590,45,M,3,2,SVC,PARTICULIER,43,,,PCNS0,W,329.31291666666664,6.36,24,403.43000000000006,20265.59,13,2,0.0,0.0,53,15800.0,0,0.0,0,0.0,0.0,1,0,2561,959,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,3.742732026656512
780,78,M,3,2,SVC,PARTICULIER,53,,,PLOCI,W,5886.305416666667,69.82,24,5936.612400000001,50515.79,9,29,0.0,0.0,8,12500.0,0,0.0,0,0.0,0.0,0,0,4155,696,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,2.51991681539347
90,45,M,1,0,SVC,PARTICULIER,65,,,PLOCI,W,1115.91,-4.1,24,1095.6375,26000.0,13,0,0.0,0.0,35,31300.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,4.971736071905441
430,43,M,3,3,FNC,PARTICULIER,37,,,PLOCI,W,28334.288333333323,696.95,24,8124.5984,81936.27,13,3,0.0,0.0,55,37900.0,45,2389.19,2,800.0,0.0,0,0,1490,783,0,0.0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,2.1180909608164393
780,78,M,1,0,SVC,PARTICULIER,41,,,PLOCI,W,786.1127777777779,-55.83,36,1382.9257142857143,28601.48,7,0,0.0,0.0,6,6800.0,20,240.0,0,0.0,0.0,0,1,4157,699,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,24.973808536094978
780,78,M,1,0,SVC,PARTICULIER,32,09,MaRetraite,PLOCI,W,-2155.24,-1033.2150000000001,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1.0,0,1,4157,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
793,17,M,1,0,SVC,PARTICULIER,39,,,PLOCI,W,-2915.2675,-1033.2150000000001,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
